player1_id,player1_name,player2_id,player2_name,player1_wins,player2_wins,player1_weighted_wins,player2_weighted_wins,games
2827292,Simen Jøndal,6691281,Andreas Wahr-Hansen,43,42,12.395026011198006,12.026795917683323,85
1024799,Stig Nesvik,1902521,Tom-Henrik Sandvik,58,27,12.778045755480735,6.366416057641209,85
1750663,Tore Mo,1902521,Tom-Henrik Sandvik,36,49,5.729236288044199,8.503607899226958,85
1024799,Stig Nesvik,1024806,Lars Nitteberg,44,41,5.967447534465097,5.507516929836193,85
5140422,Tomas Gryczon,5493128,Per christian Slåtta,39,44,12.452514508051275,13.666793059890303,83
1902521,Tom-Henrik Sandvik,2827292,Simen Jøndal,45,38,8.896193572631908,7.994146715073155,83
1750663,Tore Mo,4797871,Johannes Ulsund,44,39,9.928511715770094,9.167740599634401,83
5916966,Per Christian Slåtta,6839980,Daniel Lorentzen-Styr,45,37,9.797673125298584,8.055864569689941,82
1750663,Tore Mo,1751232,Øyvind Stenhaug,60,22,11.465089282891542,4.041483300425614,82
5493128,Per christian Slåtta,7131339,Roger Mølmann,30,50,9.271559035645891,15.603483733851846,80
1708121,Petter Olsen,1751232,Øyvind Stenhaug,47,33,8.464600164067962,5.951110793043511,80
1024799,Stig Nesvik,2052753,Morten Falk,38,42,7.997044085725619,8.825051448864892,80
17978686,Ibra Alkhader,25484464,Joaquin K. Yovine,58,21,44.28818322809053,15.960322134103459,79
1510340,Andris Viksnins,1750663,Tore Mo,37,42,8.421217319247258,10.058692074044085,79
26005654,Jacob Sæther,6600268,Kim Soo Garmark,32,46,28.087467488044787,39.49260733686229,78
10220035,Marius Lamby Solvang,1024799,Stig Nesvik,40,37,27.195738896761366,26.81175215436714,77
26005654,Jacob Sæther,3682319,Lasse Rognlien,53,24,41.74240364037149,18.272713174877687,77
1946517,Ivan Tadic,1969223,Ole Andreas Sandvik,37,40,6.4509918276247955,7.998303265957851,77
1006220,Erik Gårdelöf,1006431,Pål Daud Fillipsveen,43,33,36.62520403443026,27.435021510865308,76
1006333,Kent Hansen,1093760,Mindaugas Jomantas,43,33,27.458410502846565,19.719564757260617,76
3682319,Lasse Rognlien,5140422,Tomas Gryczon,40,36,28.34801702445653,26.54359240260267,76
1022496,Jozef Kwit,1093760,Mindaugas Jomantas,37,38,30.40637132694605,24.299508731148542,75
17978686,Ibra Alkhader,26005654,Jacob Sæther,51,24,41.95316765919555,19.569324116044566,75
7131339,Roger Mølmann,7959797,Pergantis Zalachas,44,31,15.084908349208868,10.50353979810323,75
1750663,Tore Mo,5140422,Tomas Gryczon,46,29,10.615447595791435,7.302767818904679,75
1708121,Petter Olsen,5140422,Tomas Gryczon,47,28,12.032120777831794,7.259441159925072,75
5140422,Tomas Gryczon,6839980,Daniel Lorentzen-Styr,31,43,10.120480339169832,11.831162050216696,74
5140422,Tomas Gryczon,7131339,Roger Mølmann,21,53,7.6721660419753785,18.660854901324964,74
1277819,Lasse Kåring,7131339,Roger Mølmann,33,41,11.313997897527242,18.0052404186081,74
1750663,Tore Mo,6839980,Daniel Lorentzen-Styr,33,41,8.944120868211137,11.475400181079596,74
2827292,Simen Jøndal,2947265,Bernjard David C Ruiz,31,43,6.424778021381634,8.515079104288759,74
2827292,Simen Jøndal,6839980,Daniel Lorentzen-Styr,25,48,6.073010998269477,11.671443740954967,73
1510340,Andris Viksnins,7959797,Pergantis Zalachas,45,27,19.82214671492306,10.44052436416479,72
17978686,Ibra Alkhader,6686119,Levi Pavdeja,42,30,34.67835529537682,24.170889180003975,72
1510340,Andris Viksnins,4797871,Johannes Ulsund,48,24,13.236928401070989,6.5079078638240135,72
1024799,Stig Nesvik,1969223,Ole Andreas Sandvik,41,31,9.299228482947536,6.9590798186533105,72
1006333,Kent Hansen,42921529,Joshua Turla Tuppal,33,38,26.69705028023499,29.90217674297527,71
1006214,Emil André Gangfløt,1006220,Erik Gårdelöf,46,25,26.176049127535972,13.658921461769884,71
1024799,Stig Nesvik,4797871,Johannes Ulsund,39,32,10.867795530115208,8.81713021723097,71
1708121,Petter Olsen,6691281,Andreas Wahr-Hansen,38,32,10.632666830853529,8.28455120867706,70
1024799,Stig Nesvik,1071778,Deleted Account,31,39,4.489026333215762,5.5022782322329356,70
1024799,Stig Nesvik,51736666,Yakup Aliz,22,47,17.509946089078664,37.86122772145564,69
1024799,Stig Nesvik,7719582,Astrid E. Pedersen,45,24,34.142426573564286,19.393206494051576,69
5140422,Tomas Gryczon,6691281,Andreas Wahr-Hansen,25,44,6.469052585607545,11.784107131016237,69
1006403,Niklas Engström-Øvretveit,1006431,Pål Daud Fillipsveen,26,42,18.70502183696487,30.445935953404717,68
1006549,Umar Hayat Ali,17978686,Ibra Alkhader,34,34,27.242184739082365,27.065494742921008,68
17978686,Ibra Alkhader,3682319,Lasse Rognlien,55,13,43.40110006017115,10.317756807877869,68
2194859,Eivind Yoo Yong Jae Johansen,2581136,Mona Søvold Sunde,29,38,19.667638911686282,23.072510808658105,67
1024799,Stig Nesvik,6600268,Kim Soo Garmark,20,47,14.72760613843915,33.71352394414089,67
1006360,Lars Harby,26005654,Jacob Sæther,44,23,34.94722129093481,20.148582980356966,67
1006333,Kent Hansen,17978686,Ibra Alkhader,16,51,12.218836770382143,39.28110532368634,67
1024799,Stig Nesvik,53204752,Julianne Myhren-heyerdahl,44,23,31.81152354125017,17.263170521001527,67
1751232,Øyvind Stenhaug,1902521,Tom-Henrik Sandvik,25,42,3.751464226166171,6.222098736098704,67
1006431,Pål Daud Fillipsveen,7131339,Roger Mølmann,41,25,28.56211357225189,17.41026930131261,66
1047734,Ole Kristian Rudshavn,6600268,Kim Soo Garmark,43,23,13.846300569803937,8.458207551727996,66
10220035,Marius Lamby Solvang,1510340,Andris Viksnins,34,32,13.464275351051134,12.495298325933453,66
24897019,Robert Hedin,6600268,Kim Soo Garmark,27,38,21.26194072116099,29.67460730768971,65
6600268,Kim Soo Garmark,6839980,Daniel Lorentzen-Styr,37,28,16.201447064507292,13.682265137254948,65
1902521,Tom-Henrik Sandvik,1969223,Ole Andreas Sandvik,38,27,6.729929281388079,5.085500849769566,65
1006163,Bjørn Bratteberg,43127857,Manabu Sekiguchi,31,33,28.387261653329105,29.957946301674077,64
53204752,Julianne Myhren-heyerdahl,54197755,Tom erik Lysenstøen,34,30,26.827184737326736,24.05024064721364,64
1022496,Jozef Kwit,26005654,Jacob Sæther,35,29,30.56528551842619,25.42495079020405,64
1946517,Ivan Tadic,2052753,Morten Falk,30,34,5.128111139345122,5.443389199248737,64
1750663,Tore Mo,1946517,Ivan Tadic,29,35,4.928188559848446,5.82280228158622,64
1006372,Marius Nørsterud,1093760,Mindaugas Jomantas,41,22,39.293404902587234,21.08426604529071,63
1006163,Bjørn Bratteberg,51736666,Yakup Aliz,29,33,26.9377811374003,30.708394116489334,62
26005654,Jacob Sæther,43127857,Manabu Sekiguchi,32,30,27.331757320886478,25.870833003610983,62
2827292,Simen Jøndal,3012666,Eirik Sandaaker,30,32,8.138204799108,9.133145308362257,62
1969223,Ole Andreas Sandvik,3595359,Øivind Bakken,31,31,6.496681216627528,6.672334125936263,62
1946517,Ivan Tadic,3595359,Øivind Bakken,30,32,6.527934126971605,6.9653102441541535,62
1015952,Marius Farås,1946517,Ivan Tadic,38,24,5.189419689236164,3.2880561302766633,62
1093760,Mindaugas Jomantas,7719582,Astrid E. Pedersen,44,17,37.00016968207186,14.478876841591942,61
