tournament_id,name,url,starttime
8161179,Amatørturnering Nivå 2,https://cuescore.com/tournament/Amat%C3%B8rturnering+Niv%C3%A5+2/8161179,2020-09-07T16:00:00Z
8110975,Oslo BK Snooker,https://cuescore.com/tournament/Oslo+BK+Snooker/8110975,2020-09-03T15:30:00Z
8122972,Oslo BK KT 1 2020/2021,https://cuescore.com/tournament/Oslo+BK+KT+1+2020%252F2021/8122972,2020-09-02T16:25:00Z
8127427,3Vant 1 sep 2020,https://cuescore.com/tournament/3Vant+1+sep+2020/8127427,2020-09-01T14:51:00Z
8125214,Amatørturnering,https://cuescore.com/tournament/Amat%C3%B8rturnering/8125214,2020-08-31T16:00:00Z
8125217,Amatørturnering Nivå 2,https://cuescore.com/tournament/Amat%C3%B8rturnering+Niv%C3%A5+2/8125217,2020-08-31T16:00:00Z
8124917,Advancedturnering,https://cuescore.com/tournament/Advancedturnering/8124917,2020-08-31T16:00:00Z
8106587,Oslo BK Snooker,https://cuescore.com/tournament/Oslo+BK+Snooker/8106587,2020-08-27T15:30:00Z
8103983,Oslo BK Klubbturnering 2020,https://cuescore.com/tournament/Oslo+BK+Klubbturnering+2020/8103983,2020-08-26T16:00:00Z
8104855,3 Vant nr 2 25 august 2020,https://cuescore.com/tournament/3+Vant+nr+2+25+august+2020/8104855,2020-08-25T16:49:00Z
8104188,3 Vant carambole 25 aug 2020,https://cuescore.com/tournament/3+Vant+carambole+25+aug+2020/8104188,2020-08-25T13:38:00Z
8101155,Advancedturnering 24.08.2020,https://cuescore.com/tournament/Advancedturnering+24.08.2020/8101155,2020-08-24T16:00:00Z
8101126,Amatørturnering Nivå 2,https://cuescore.com/tournament/Amat%C3%B8rturnering+Niv%C3%A5+2/8101126,2020-08-24T16:00:00Z
8096806,Jokkes 30 års lag,https://cuescore.com/tournament/Jokkes+30+%C3%A5rs+lag/8096806,2020-08-22T20:00:00Z
8089230,Oslo BK Ligaspill Rating <1200 H-2020,https://cuescore.com/tournament/Oslo+BK+Ligaspill+Rating+%3C1200+H-2020/8089230,2020-08-20T14:30:00Z
8089125,Oslo BK TRENINGSTURNERING Aug 2020,https://cuescore.com/tournament/Oslo+BK+TRENINGSTURNERING+Aug+2020/8089125,2020-08-19T16:00:00Z
8063321,Oslo BK Klubbturnering PRO RT 1 2020 8-ball,https://cuescore.com/tournament/Oslo+BK+Klubbturnering+PRO+RT+1+2020+8-ball/8063321,2020-08-12T16:00:00Z
